item,valor,,
proporcao_treino,70%,,
proporcao_validacao,15%,,
proporcao_teste,15%,,
inicio_validacao,6/29/2021,,
inicio_teste,12/16/2023,,
janela_1,24,Olhar até 24 horas atrás,
janela_2,48,Olhar até 48 horas atrás,
janela_3,72,Olhar até 72 horas atrás,
janela_4,96,Olhar até 96 horas atrás,* a escolha desses valores é justificada pelo gráfico da autocorrelação horária da temperatura
k_1,6,Previsão de 6 horas à frente,
k_2,12,Previsão de 12 horas à frente,
k_3,18,Previsão de 18 horas à frente,
k_4,24,Previsão de 24 horas à frente,
